,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
36,36,-340.1259346,2025-01-18 07:01:20.762030,2025-01-18 07:01:31.982129,0 days 00:00:11.220099,tanh,8,7,0.22544129672665705,0.9687418468855776,3,0.0024975380678962608,6,2.5167576670851872,tiny,5,0.8270149887899064,46,0.9687418468855776,COMPLETE
37,37,-109.95449,2025-01-18 07:01:31.983047,2025-01-18 07:01:42.299673,0 days 00:00:10.316626,tanh,5,4,0.1758688840501466,0.9523698264711525,1,0.12351520668532126,8,4.10531440055586,tiny,5,0.8047972158433712,31,0.9523698264711525,COMPLETE
38,38,-1044.4754978,2025-01-18 07:01:42.300634,2025-01-18 07:01:48.368653,0 days 00:00:06.068019,relu,4,4,0.18363290326555493,0.9531105695420575,1,0.04345012229809268,8,3.3183899011669564,small,5,0.799882540827464,18,0.9531105695420575,PRUNED
39,39,-928.6798965,2025-01-18 07:01:48.369646,2025-01-18 07:01:54.221674,0 days 00:00:05.852028,tanh,5,3,0.24546297436592746,0.9220599341553757,1,0.52298840096091,9,4.098412778141957,tiny,5,0.7612153718066779,30,0.9220599341553757,PRUNED
40,40,-1165.0550431,2025-01-18 07:01:54.222329,2025-01-18 07:02:00.021438,0 days 00:00:05.799109,tanh,3,4,0.15507486500207207,0.9773945618686041,2,0.14200627805458912,10,3.7703424145684004,tiny,4,0.7729625271133895,62,0.9773945618686041,PRUNED
41,41,-976.4794810999999,2025-01-18 07:02:00.022150,2025-01-18 07:02:06.168199,0 days 00:00:06.146049,tanh,4,5,0.06939552940815177,0.9943065553263729,1,0.005404631185080256,8,4.770202272182762,tiny,6,0.8460221185154636,21,0.9943065553263729,PRUNED
42,42,-608.9929442999999,2025-01-18 07:02:06.169322,2025-01-18 07:02:12.135263,0 days 00:00:05.965941,tanh,5,4,0.11912954406990525,0.9881342672828789,4,0.08621591514913324,9,4.462643904735837,tiny,7,0.8090913666185275,123,0.9881342672828789,PRUNED
43,43,-469.55252170000006,2025-01-18 07:02:12.135949,2025-01-18 07:02:17.384238,0 days 00:00:05.248289,tanh,10,6,0.0767586625300013,0.999787421074304,2,0.3327360163030296,7,0.3749255146776922,tiny,6,0.863685382396616,90,0.999787421074304,PRUNED
44,44,-125.95804129999999,2025-01-18 07:02:17.385250,2025-01-18 07:02:28.626913,0 days 00:00:11.241663,tanh,7,6,0.40901630407215284,0.9798411483881742,3,0.0012367992461620179,8,4.150837252759888,tiny,7,0.8805128185906288,150,0.9798411483881742,COMPLETE
45,45,-465.4036695,2025-01-18 07:02:28.627780,2025-01-18 07:02:33.787734,0 days 00:00:05.159954,tanh,7,5,0.43393813414621857,0.9803022115688049,3,0.0013108914889865212,8,1.232683993764021,tiny,5,0.8802976992090481,142,0.9803022115688049,PRUNED
46,46,-141.62694260000004,2025-01-18 07:02:33.788599,2025-01-18 07:02:44.447527,0 days 00:00:10.658928,tanh,6,3,0.3016161856145791,0.9637590185693893,3,0.016695790942028936,9,4.211911760322633,tiny,7,0.8860268535559311,170,0.9637590185693893,COMPLETE
47,47,-562.7170559000001,2025-01-18 07:02:44.448587,2025-01-18 07:02:49.739854,0 days 00:00:05.291267,tanh,6,3,0.4094139844520072,0.9619505214275571,3,0.026833243618061667,10,3.363808357876908,tiny,6,0.8928261148129234,170,0.9619505214275571,PRUNED
48,48,-121.9209538,2025-01-18 07:02:49.740679,2025-01-18 07:03:00.500020,0 days 00:00:10.759341,tanh,5,3,0.29787784734050493,0.9466311051107823,3,0.012593167985731046,9,4.157518852821677,tiny,3,0.906937716179395,192,0.9466311051107823,COMPLETE
49,49,-121.1594952,2025-01-18 07:03:00.501071,2025-01-18 07:03:11.077039,0 days 00:00:10.575968,tanh,4,3,0.49610355506549453,0.9450629772680714,2,0.00877445490837611,8,3.034781853041309,tiny,3,0.786884891302539,194,0.9450629772680714,COMPLETE
50,50,-496.7812105,2025-01-18 07:03:11.077860,2025-01-18 07:03:16.381914,0 days 00:00:05.304054,tanh,3,3,0.4812444384890481,0.9465654678598402,1,0.009299171192172263,8,2.8757276623955024,tiny,3,0.7680133253886144,200,0.9465654678598402,PRUNED
51,51,-372.20834329999997,2025-01-18 07:03:16.382702,2025-01-18 07:03:21.616590,0 days 00:00:05.233888,tanh,4,4,0.4482425732205286,0.9360300816941263,2,0.02899886142572488,9,2.0570305933335473,tiny,3,0.7821393605269539,186,0.9360300816941263,PRUNED
