#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
210.0,1963,649.417984
120.0,2019,650.832515
155.0,2521,652.718104
135.0,2283,654.364568
240.0,2707,656.227713
155.0,2275,657.821461
180.0,2371,659.833522
110.0,2269,661.539897
120.0,2165,663.039732
260.0,2911,665.067642
110.0,1901,666.41023
75.0,1835,667.701887
120.0,2271,669.281249
50.0,1859,670.527417
105.0,1907,671.793847
155.0,2377,673.445079
210.0,2791,677.206857
180.0,2501,678.927449
315.0,2111,680.385799
410.0,2457,682.074297
180.0,2419,683.74726
135.0,2261,685.307383
110.0,2331,691.256181
105.0,1799,692.486853
85.0,1903,693.784644
290.0,2893,695.866837
145.0,1923,697.234233
330.0,3299,699.573219
155.0,2411,701.278572
155.0,2555,703.067802
210.0,2463,706.862698
150.0,1949,708.264819
210.0,2457,709.958876
270.0,2729,711.805115
230.0,2521,713.580745
380.0,2529,715.342068
55.0,1193,716.178605
180.0,2441,717.91898
210.0,2473,720.061866
105.0,1913,721.547301
210.0,2401,723.245301
240.0,2883,725.229305
180.0,1975,726.61444
240.0,2881,728.670877
90.0,1237,729.533555
60.0,2017,730.911978
105.0,1831,732.156628
290.0,3005,734.550198
260.0,2891,736.652357
120.0,1765,739.403819
135.0,1955,740.780264
45.0,1299,741.681971
105.0,1543,742.78142
135.0,1515,743.823202
155.0,2391,745.43725
110.0,1929,746.794209
240.0,2993,748.887172
155.0,1977,750.608107
210.0,2531,752.35437
105.0,1979,753.720232
125.0,1975,755.07945
470.0,2597,756.891361
210.0,1987,758.265764
120.0,2323,759.921502
110.0,1899,761.246536
210.0,2435,762.912249
135.0,2163,764.6797
210.0,2527,766.448563
215.0,2785,772.745514
55.0,1319,773.648746
155.0,2351,775.276119
210.0,2501,777.006442
120.0,1519,778.059386
135.0,2401,779.933154
105.0,1815,781.352435
105.0,1885,782.712893
210.0,1937,784.195744
180.0,1971,785.59816
85.0,1065,786.361114
115.0,1695,787.567973
45.0,1533,788.646951
115.0,1963,790.023843
185.0,2075,791.457845
105.0,1819,792.757533
90.0,1751,794.194326
240.0,2855,796.31059
70.0,1173,797.156008
120.0,2091,798.657539
35.0,1495,799.718123
45.0,1215,802.131502
210.0,1983,803.423728
260.0,2979,805.49994
285.0,3155,807.698477
300.0,3343,810.394296
230.0,2829,812.382567
135.0,2185,813.913119
140.0,1941,815.276525
105.0,1963,816.645009
245.0,2863,818.61628
180.0,2445,820.374334
185.0,1929,821.715214
465.0,2931,823.744075
240.0,2963,826.162123
160.0,2455,827.88634
165.0,1487,828.950925
150.0,2081,830.40841
180.0,2369,833.652897
265.0,3419,836.020898
410.0,2457,837.733698
170.0,1647,838.838408
210.0,2809,841.213278
155.0,2185,842.679701
45.0,1399,843.696444
150.0,2431,845.442693
65.0,1041,846.170688
120.0,2335,847.856794
50.0,1153,855.390209
160.0,1915,856.724054
210.0,2491,858.443777
135.0,1909,859.81438
530.0,3009,861.950426
90.0,1181,862.750932
210.0,2557,866.046734
260.0,2859,868.10959
410.0,2763,870.494185
80.0,1155,871.375088
210.0,2537,873.190223
75.0,1839,874.540809
30.0,1181,875.451557
210.0,2673,877.355196
80.0,1145,878.140933
130.0,1897,879.498295
240.0,2885,881.540155
180.0,2367,883.251482
135.0,1883,884.831094
135.0,2069,886.418372
110.0,1885,887.777249
160.0,1865,889.117291
50.0,1195,889.992133
180.0,2485,891.777392
180.0,2637,893.650962
210.0,2379,896.879142
210.0,2535,898.705339
155.0,1911,900.302935
210.0,2431,902.148581
355.0,3259,904.525459
260.0,2897,906.654992
260.0,2945,908.775556
485.0,3019,910.954312
210.0,2447,912.689648
260.0,2881,914.989714
105.0,1157,915.907658
185.0,2419,917.678222
155.0,1965,919.059468
190.0,2791,921.01462
110.0,1833,922.290598
410.0,2545,924.219447
365.0,3903,928.571427
210.0,2475,930.629495
415.0,2703,932.672112
155.0,2395,934.383407
185.0,2715,940.471164
485.0,3293,942.710284
210.0,2629,944.821089
285.0,2697,946.795178
260.0,2921,948.876816
210.0,2669,950.81135
285.0,2849,952.836192
125.0,1697,954.049979
160.0,2045,955.515006
120.0,2263,957.138311
210.0,2735,961.060778
210.0,2511,962.909314
65.0,1151,963.723775
205.0,3055,966.010819
260.0,2891,968.101718
125.0,2023,969.655683
270.0,2969,971.839988
265.0,2855,973.890825
210.0,2419,975.92788
135.0,2341,977.683506
210.0,2481,979.465765
210.0,2387,981.297614
260.0,2915,983.331573
330.0,4329,986.415553
135.0,2275,988.06705
160.0,2367,991.606096
110.0,2261,993.162542
135.0,1931,994.539605
210.0,2457,996.267683
110.0,1877,997.614585
255.0,2989,999.772872
80.0,1349,1000.744992
80.0,1919,1002.14409
180.0,2343,1003.817662
445.0,2867,1006.241448
75.0,1197,1007.105866
210.0,2489,1008.911086
180.0,2285,1010.576049
210.0,2485,1012.366959
135.0,2229,1013.966797
110.0,1187,1014.822178
120.0,1849,1016.586918
135.0,2201,1027.027515
135.0,1915,1028.679298
460.0,2853,1030.950967
260.0,3003,1033.153497
410.0,2681,1035.072901
285.0,3301,1037.481682
155.0,2365,1039.18912
80.0,1777,1040.499606
210.0,2415,1042.234704
110.0,2071,1044.004887
260.0,2893,1046.118595
460.0,2917,1048.267769
155.0,2407,1050.091697
120.0,1933,1051.520888
260.0,2875,1055.087237
715.0,4209,1058.141446
210.0,2413,1060.211947
260.0,2945,1062.317977
260.0,2897,1064.39567
320.0,2045,1065.900117
240.0,2859,1067.95403
110.0,2045,1069.457691
65.0,1221,1070.332698
55.0,1241,1071.217455
180.0,2329,1072.894168
485.0,2897,1074.996626
210.0,2817,1077.012764
135.0,2003,1078.49661
275.0,3027,1080.654341
310.0,3265,1083.083482
355.0,2643,1086.661808
160.0,2343,1088.356387
290.0,3355,1090.786964
180.0,2215,1092.412655
475.0,3047,1094.622707
460.0,4327,1097.811908
380.0,2523,1099.649966
460.0,2839,1101.661738
180.0,2139,1103.220161
275.0,3055,1112.009384
155.0,1921,1113.380584
460.0,3253,1117.415879
290.0,3329,1120.067447
105.0,1589,1121.257793
210.0,2405,1123.007923
465.0,2861,1125.057512
440.0,2913,1127.199498
255.0,3031,1129.508609
155.0,2361,1131.266187
315.0,3239,1133.688388
355.0,2473,1135.524122
260.0,2853,1137.685112
210.0,2483,1139.576593
660.0,2983,1141.842901
540.0,4577,1145.282665
260.0,2929,1149.008039
515.0,3097,1151.321379
105.0,1881,1152.707997
165.0,2245,1154.364222
335.0,3705,1157.111385
210.0,2377,1158.882576
565.0,4241,1162.048764
285.0,2777,1164.129174
225.0,2843,1166.28318
345.0,4275,1169.500169
715.0,4157,1172.59574
210.0,2575,1174.543634
440.0,2995,1176.808791
210.0,2627,1180.702576
290.0,3087,1182.977765
285.0,2917,1185.137511
240.0,2873,1187.271934
485.0,2833,1189.427542
260.0,2905,1191.584489
405.0,3149,1201.029241
440.0,2857,1203.168505
115.0,2101,1204.697205
210.0,2425,1206.471963
250.0,2871,1208.939261
255.0,2917,1212.666009
420.0,4747,1216.030702
305.0,3887,1218.884553
570.0,4373,1222.123964
155.0,3551,1224.770122
210.0,4133,1227.901278
765.0,4219,1231.04422
305.0,3103,1233.323579
210.0,2715,1235.297078
210.0,2635,1237.263087
240.0,2971,1239.46425
460.0,2887,1241.603341
595.0,4077,1246.07221
210.0,2549,1247.963618
285.0,3075,1250.221059
530.0,3443,1252.741698
410.0,2385,1254.507553
240.0,2961,1256.724013
290.0,3467,1259.205203
210.0,2107,1260.763388
185.0,2515,1262.535695
245.0,3041,1264.766736
275.0,3512,1267.425971
345.0,3193,1270.193608
65.0,1235,1271.143945
210.0,2409,1272.885752
520.0,3219,1276.805473
210.0,4227,1288.996125
90.0,1491,1290.067041
225.0,2459,1291.770423
460.0,3292,1294.117903
360.0,2753,1296.157965
655.0,4081,1299.441769
185.0,2919,1301.589707
180.0,1637,1302.763637
225.0,2825,1304.812591
450.0,4591,1309.697773
465.0,4323,1312.772156
210.0,2785,1314.851401
210.0,2601,1316.759103
365.0,3391,1319.307477
515.0,4612,1322.778078
80.0,1265,1323.725088
270.0,3033,1326.008493
600.0,4166,1329.109235
155.0,2089,1330.693292
240.0,2497,1332.597471
550.0,3541,1335.17418
220.0,2971,1338.928639
90.0,1677,1340.187824
470.0,3009,1342.459977
210.0,2515,1344.317637
335.0,4451,1347.630756
260.0,2931,1349.801328
210.0,2337,1351.568968
350.0,4157,1354.624906
715.0,4677,1358.129467
650.0,4601,1361.710557
190.0,2171,1363.29466
240.0,3305,1365.803012
245.0,3119,1377.878941
670.0,4465,1381.182741
395.0,4403,1384.498032
320.0,3369,1387.062664
545.0,5411,1391.532386
240.0,4601,1394.956673
410.0,3193,1397.376071
135.0,2501,1399.30219
180.0,1779,1402.234374
60.0,1853,1403.648671
285.0,3111,1405.954143
215.0,2601,1407.96023
240.0,2933,1410.225852
725.0,5109,1414.156058
990.0,4760,1418.039852
380.0,4279,1421.882285
410.0,2423,1423.80417
440.0,2837,1426.094247
520.0,5237,1430.354966
355.0,2435,1433.879475
110.0,1929,1435.435459
240.0,4297,1438.959998
325.0,3057,1441.476377
225.0,2603,1443.598113
505.0,3103,1446.018359
380.0,4855,1450.493071
455.0,3469,1453.594859
260.0,2931,1455.87781
335.0,4333,1459.335202
660.0,5647,1475.265173
330.0,4031,1478.462082
225.0,3025,1481.318487
260.0,4685,1485.030596
245.0,2907,1487.320847
225.0,2679,1489.485393
225.0,2857,1491.813949
220.0,2545,1493.864523
490.0,4047,1498.614738
240.0,4563,1502.218918
670.0,4507,1505.820057
330.0,4053,1509.121696
315.0,3403,1511.873432
245.0,3057,1514.317136
480.0,3139,1516.848682
135.0,2053,1518.496665
1010.0,5835,1523.088048
840.0,4875,1528.487941
300.0,3101,1531.043828
695.0,5943,1535.705696
245.0,2987,1538.117693
430.0,4265,1541.844543
250.0,2719,1544.023877
795.0,5328,1548.221037
455.0,4525,1551.840348
435.0,4616,1555.515578
650.0,5893,1573.381615
670.0,4317,1576.812028
290.0,4039,1580.099682
665.0,4495,1584.057901
670.0,4665,1587.822995
180.0,2397,1591.354502
370.0,2611,1593.465981
350.0,4325,1596.949963
555.0,3949,1600.25662
215.0,2811,1602.621431
550.0,6091,1607.459688
365.0,4259,1610.777689
610.0,4644,1614.421805
535.0,4057,1617.664468
105.0,1867,1619.225099
480.0,5103,1624.836421
410.0,4519,1628.334066
285.0,2907,1630.636571
435.0,4863,1634.267375
315.0,3783,1637.198518
770.0,5781,1641.627861
410.0,4460,1645.0482
365.0,4533,1648.574024
1250.0,8475,1670.451293
440.0,4423,1673.990057
1045.0,8503,1680.505884
540.0,4327,1685.380004
295.0,3305,1687.95957
380.0,4181,1691.198714
560.0,5491,1695.359924
355.0,3517,1698.071643
310.0,4245,1701.420222
285.0,3041,1703.643542
315.0,4191,1706.831383
650.0,4969,1710.705032
500.0,4221,1713.987057
465.0,4897,1719.354185
225.0,2443,1721.294853
415.0,2751,1723.465047
410.0,3777,1726.453099
335.0,3875,1729.483677
215.0,4509,1733.01287
475.0,5453,1737.267652
395.0,4317,1740.622168
350.0,3815,1743.591911
345.0,3255,1746.098038
650.0,4697,1751.314672
210.0,2323,1762.905533
640.0,4910,1766.845057
320.0,4177,1770.18922
380.0,3943,1773.265546
465.0,4391,1776.698827
600.0,4927,1782.476654
525.0,4629,1786.064695
460.0,4581,1789.685116
470.0,5028,1793.623477
360.0,4651,1797.32093
210.0,2573,1799.33384
420.0,4575,1802.894495
565.0,4433,1806.356725
415.0,4639,1811.505738
670.0,4641,1815.1056
260.0,4565,1821.814019
445.0,4573,1826.718846
370.0,4735,1830.572646
385.0,4145,1833.824379
645.0,4311,1837.233073
625.0,4605,1841.011212
330.0,3125,1844.945357
555.0,6408,1849.930972
540.0,5621,1867.028208
350.0,3989,1870.560352
600.0,6393,1877.160321
245.0,3001,1879.532113
240.0,2355,1881.42424
500.0,6093,1886.225209
500.0,4423,1889.713539
475.0,4943,1893.537186
410.0,3524,1896.341951
380.0,3655,1899.682598
315.0,4557,1903.43742
795.0,5086,1908.996676
390.0,4460,1912.524623
785.0,6159,1917.326561
820.0,4797,1921.124201
470.0,4750,1924.940669
435.0,4797,1928.74815
385.0,3233,1931.306961
670.0,4425,1934.775691
865.0,5134,1940.436114
435.0,4045,1943.569195
460.0,2465,1945.43951
420.0,5060,1960.121768
385.0,3645,1962.887555
880.0,5741,1967.351449
695.0,4155,1972.275562
245.0,4209,1976.009834
465.0,3389,1978.742205
430.0,4725,1982.552131
455.0,4105,1985.910475
410.0,4159,1989.34792
450.0,4945,1993.302563
680.0,4539,1996.885237
720.0,4987,2002.529855
230.0,2097,2004.240799
680.0,4355,2007.773581
630.0,5689,2012.345561
430.0,4817,2016.157965
985.0,5792,2021.371937
340.0,5147,2025.569565
290.0,2761,2027.830798
870.0,4722,2033.193694
360.0,4329,2036.680062
645.0,4597,2040.385808
585.0,6063,2045.403692
395.0,4479,2060.961283
260.0,2739,2065.030864
595.0,3807,2068.674491
370.0,3593,2071.882517
420.0,3043,2074.599271
525.0,4529,2078.6018
465.0,4750,2082.756545
475.0,6249,2087.870545
495.0,4523,2091.555565
390.0,4029,2096.390061
445.0,4247,2099.907265
520.0,3793,2103.059784
255.0,3265,2105.759283
545.0,5984,2110.57082
460.0,3927,2113.730663
605.0,3372,2116.482664
390.0,3837,2119.548288
490.0,4341,2123.058683
405.0,3363,2127.331135
270.0,2915,2129.712623
610.0,4747,2133.57642
215.0,2783,2135.810629
725.0,4611,2139.879442
420.0,4295,2143.700242
545.0,5389,2161.590845
295.0,4366,2164.975727
420.0,4207,2168.436837
205.0,3097,2171.27145
585.0,4473,2174.890205
300.0,3131,2177.411022
700.0,4795,2181.288174
420.0,4445,2184.886924
425.0,3507,2187.770744
720.0,5549,2193.895126
385.0,3254,2196.463022
350.0,2967,2198.902496
420.0,4940,2202.988013
675.0,4471,2206.568117
615.0,5767,2211.277681
805.0,5893,2215.978439
665.0,4631,2219.775147
290.0,4149,2224.788177
795.0,4001,2228.155667
315.0,2857,2230.507217
500.0,3797,2233.64776
590.0,4289,2237.224852
420.0,4345,2240.7206
470.0,3609,2243.619222
485.0,4365,2262.824062
1005.0,5983,2267.357494
210.0,3203,2269.94294
665.0,4239,2273.479574
570.0,5469,2278.341063
725.0,4695,2282.301555
260.0,2713,2286.172195
495.0,4317,2289.741835
180.0,1845,2291.290882
600.0,5833,2296.048817
315.0,3813,2299.203659
410.0,3181,2301.851053
650.0,7365,2307.866693
125.0,2497,2309.978225
275.0,4449,2313.592434
285.0,3607,2318.144033
725.0,4357,2321.821757
