,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
21,21,-inf,2025-02-02 22:16:50.562291,2025-02-02 22:16:50.587686,0 days 00:00:00.025395,relu,139,0.23350460977562798,0.0003769526979066851,0.8336579548562548,0.9572459775367184,0.00014513688850049068,3.6472626184839037,5,222,tiny,0.07858135394118537,0.6234550847572011,COMPLETE
22,22,-inf,2025-02-02 22:16:50.588379,2025-02-02 22:16:50.611091,0 days 00:00:00.022712,relu,143,0.2758474865897061,0.00018946047258879638,0.8018389562218307,0.9981342937907295,8.694223911707101e-05,3.4227409185999176,5,187,tiny,0.050319347233374986,0.6576992128283934,COMPLETE
23,23,-inf,2025-02-02 22:16:50.611830,2025-02-02 22:16:50.633766,0 days 00:00:00.021936,relu,157,0.24927075489729136,0.0004910924028474741,0.8480770933375716,0.9687355903966948,4.191033554638416e-05,3.8974196574742317,6,231,tiny,0.09258037710673665,0.5723239562835611,COMPLETE
24,24,-inf,2025-02-02 22:16:50.634427,2025-02-02 22:16:50.657057,0 days 00:00:00.022630,relu,233,0.21472379489787766,4.70415248807874e-05,0.8250435028164038,0.9260743913927977,0.00015708420588893634,2.883198728260702,8,187,tiny,0.08139141672207814,0.718082082598543,COMPLETE
25,25,-inf,2025-02-02 22:16:50.657808,2025-02-02 22:16:50.681011,0 days 00:00:00.023203,relu,196,0.2741754642602499,0.000139601602165458,0.8559550399815492,0.9586371083712556,2.721762764672835e-05,2.1312047375508283,4,245,tiny,0.12320618329911118,0.7936438855494113,COMPLETE
26,26,-inf,2025-02-02 22:16:50.681711,2025-02-02 22:16:50.704316,0 days 00:00:00.022605,relu,168,0.24311078871959402,0.000582648755501895,0.9094422329448726,0.9826974221655842,5.543235057557012e-05,3.1647960349085253,5,185,tiny,0.038322793267925426,0.6631741103674076,COMPLETE
27,27,-inf,2025-02-02 22:16:50.705141,2025-02-02 22:16:50.728351,0 days 00:00:00.023210,tanh,88,0.20726495288091773,0.001273183654843809,0.8843821440675111,0.9441338091748911,0.00010870884146050675,2.699038970274536,2,74,small,0.06229046237624116,0.7390620947565634,COMPLETE
28,28,-inf,2025-02-02 22:16:50.729504,2025-02-02 22:16:50.755558,0 days 00:00:00.026054,relu,152,0.12824106782363617,0.0047648022951937395,0.83800322670287,0.9932114623412142,0.00035728432343005284,2.20507405730991,6,146,tiny,0.08484183293004656,0.581714531442953,COMPLETE
29,29,-inf,2025-02-02 22:16:50.756317,2025-02-02 22:16:50.779542,0 days 00:00:00.023225,tanh,57,0.26553266269569215,8.911712609322701e-05,0.9470803875540758,0.9349909531212403,0.00015864510567922615,4.5746959787563455,8,254,small,0.17820855404841685,0.8248616316827586,COMPLETE
30,30,-inf,2025-02-02 22:16:50.780282,2025-02-02 22:16:50.806259,0 days 00:00:00.025977,tanh,120,0.18464083850213175,2.3482596642515023e-05,0.8196196593453694,0.9106477514072928,0.0005938036852120037,3.6766186747287417,7,235,small,0.06899315133519843,0.8995451713004585,COMPLETE
